post_id,user_id,post_username,post_created_at,heading,content,embed_platform,post_like_count,post_like_usernames,comment_count,latest_comment_at
e864e3dd-2399-43fa-8e5b-3c29ec61854a,ec455a41-4c72-4c7d-9ace-89f42929f39e,brookea,2026-01-09 09:51:00+00:00,What are we all thinking about nepo-baby discourse right now?,Trying to separate what is actually interesting from what is just loud online. Would love your most nuanced take.,apple_podcasts,2,"paige69, penny66",1,2026-01-09 11:51:00+00:00
f5f35d98-c72f-43fe-aac3-c33bde9ce310,3c46fc4c-22a4-4dca-9078-1eb0d5d529cc,mads,2026-01-14 09:08:00+00:00,I keep circling back to celebrity side hustles.,I keep hearing versions of the same argument and want something smarter than the timeline. Drop your best example.,None,4,"amber, penny66, lauren, poppy_club",4,2026-01-15 04:08:00+00:00
d1215e6b-445f-4dc5-8cf9-f99d67129010,51efd9cc-9dd5-4483-b6de-ee8e728b82e9,paige69,2026-01-16 11:15:00+00:00,Can someone explain why celebrity memoirs keeps coming back?,I want the read that makes the whole thing click. Please send your essay or podcast.,spotify,3,"penny66, mads, immy79",3,2026-01-17 09:15:00+00:00
46e7c05b-3c6f-4a02-88e5-c42e8431d29c,51efd9cc-9dd5-4483-b6de-ee8e728b82e9,paige69,2026-01-17 08:47:00+00:00,Can someone explain why girlboss backlash keeps coming back?,I keep hearing versions of the same argument and want something smarter than the timeline. Drop your article or voice note.,instagram,3,"immy79, clara, mads",3,2026-01-17 17:47:00+00:00
a4d5d251-2936-4702-a4e3-071c93cee31d,97bca700-cb0e-4868-b443-49a209c71436,billiexo,2026-01-25 07:51:00+00:00,Open thread for award season narratives.,Trying to separate what is actually interesting from what is just loud online. Would love your hot take.,spotify,2,"heidi33, lila",2,2026-01-25 11:51:00+00:00
a8fc2636-6528-4601-a315-3c4b7b731c70,3c46fc4c-22a4-4dca-9078-1eb0d5d529cc,mads,2026-01-25 20:00:00+00:00,I keep circling back to nepo-baby discourse.,Feels like there is a more interesting angle here than the obvious one. Share your most nuanced take. Curious whether people changed their mind over the last few weeks.,instagram,1,penny66,3,2026-01-26 15:00:00+00:00
3d05704a-6b84-4700-8ef9-47380917f6dc,3c46fc4c-22a4-4dca-9078-1eb0d5d529cc,mads,2026-01-26 09:47:00+00:00,Need the group's view on celebrity side hustles.,I want the read that makes the whole thing click. Please send your best example. Curious whether people changed their mind over the last few weeks.,youtube,4,"layla, ana, penny66, lila",2,2026-01-26 23:47:00+00:00
60403083-831d-4220-9e57-833119cdeaf9,3c46fc4c-22a4-4dca-9078-1eb0d5d529cc,mads,2026-01-27 18:05:00+00:00,Is anyone else fully locked into internet overexposure discourse?,Trying to separate what is actually interesting from what is just loud online. Would love your smartest read. Curious whether people changed their mind over the last few weeks.,None,2,"lauren, megan",2,2026-01-28 04:05:00+00:00
c299d029-cc41-4e2e-9e3f-93fa7677dc20,c46eb7b5-1cd6-4b09-97c3-0cb70933c953,fern,2026-01-28 19:08:00+00:00,Can someone explain why microtrend fatigue keeps coming back?,Feels like there is a more interesting angle here than the obvious one. Share your best Substack.,None,0,,5,2026-01-31 02:08:00+00:00
a027f881-f689-425f-92b3-7229f78c04f7,92a2012e-738d-4a74-becf-07dd07ab44f7,lila,2026-01-28 20:00:00+00:00,Need the group's view on PR relationships.,I want the read that makes the whole thing click. Please send your spiciest theory. Bonus points if it's more thoughtful than whatever TikTok is doing with it today.,instagram,1,lauren,1,2026-01-29 06:00:00+00:00
515f4aff-3724-410b-978d-f0ee289d452a,b9c72815-43ef-4b19-bccc-3fef787c4ac1,alixs,2026-01-31 07:47:00+00:00,Need the group's view on reality TV villains.,This has been rattling around in my head since the latest episode. Keen for the community's smartest dumb take.,None,3,"sienna, heidi33, billiexo",0,2026-01-31 07:47:00+00:00
fdbffb09-955d-4d67-b49a-371e0e0f5c74,8c3853ef-e9fd-489e-a00e-c4e6de6388c3,soph,2026-01-31 09:08:00+00:00,What are we all thinking about cancelled tours right now?,I keep hearing versions of the same argument and want something smarter than the timeline. Drop your best explainer.,None,0,,0,2026-01-31 09:08:00+00:00
7246c0c9-fe80-47d5-aa99-0109012b7c88,c46eb7b5-1cd6-4b09-97c3-0cb70933c953,fern,2026-01-31 13:51:00+00:00,Need the group's view on PR relationships.,Feels like there is a more interesting angle here than the obvious one. Share your spiciest theory.,apple_podcasts,3,"esme, ana, kiki",3,2026-02-01 22:51:00+00:00
ed0f7f58-1d69-4376-96c9-9e80d9f315b4,c46eb7b5-1cd6-4b09-97c3-0cb70933c953,fern,2026-02-01 08:08:00+00:00,What are we all thinking about movie press tours right now?,Feels like there is a more interesting angle here than the obvious one. Share your thought.,None,2,"lara_b, stellab",2,2026-02-01 19:08:00+00:00
4ce780f8-fac3-49d1-b04a-6157c0daaac6,b3cbce25-bcfc-4039-8e81-460817f8514c,poppy_club,2026-02-02 09:55:00+00:00,Can someone explain why microtrend fatigue keeps coming back?,I keep hearing versions of the same argument and want something smarter than the timeline. Drop your best Substack. Curious whether people changed their mind over the last few weeks.,None,4,"lauren, soph, heidi33, bella_club",3,2026-02-03 01:55:00+00:00
60165a64-6147-4751-a15a-89cc89847ccf,b09208d7-39f5-4e12-b9b2-f069b81a344f,elsie,2026-02-03 07:08:00+00:00,Is anyone else fully locked into comfort rewatches discourse?,I keep hearing versions of the same argument and want something smarter than the timeline. Drop your show rec.,tiktok,4,"billie97, remis, ayla, clara",5,2026-02-04 14:08:00+00:00
a0e77a2c-e26c-4eb6-b67f-140daec10f59,92a2012e-738d-4a74-becf-07dd07ab44f7,lila,2026-02-04 07:33:00+00:00,Need the group's view on PR relationships.,Trying to separate what is actually interesting from what is just loud online. Would love your spiciest theory.,youtube,1,layla,0,2026-02-04 07:33:00+00:00
14b9b482-b778-4bf8-85d9-b5db7a2b1459,3c46fc4c-22a4-4dca-9078-1eb0d5d529cc,mads,2026-02-04 19:08:00+00:00,Can someone explain why book-to-screen adaptations keeps coming back?,Trying to separate what is actually interesting from what is just loud online. Would love your must-read.,None,1,esme,1,2026-02-05 03:08:00+00:00
8ce90194-ff89-4ea0-b413-cd72390146e0,92a2012e-738d-4a74-becf-07dd07ab44f7,lila,2026-02-05 20:15:00+00:00,Who has the best take on reality TV villains?,This has been rattling around in my head since the latest episode. Keen for the community's smartest dumb take. Bonus points if it's more thoughtful than whatever TikTok is doing with it today.,None,2,"bonnie, esme",4,2026-02-07 01:15:00+00:00
96893c7b-7acc-4d2e-820f-a2977f4e8af8,bd7c68e4-dbd3-42dd-a87e-932ce8096d75,nell35,2026-02-08 21:33:00+00:00,Can someone explain why reality TV villains keeps coming back?,Trying to separate what is actually interesting from what is just loud online. Would love your smartest dumb take.,youtube,4,"mabelnotes, mila, penny66, stellab",5,2026-02-10 10:33:00+00:00
a46e622f-d7c5-4beb-948f-bdc4813b1fca,ec455a41-4c72-4c7d-9ace-89f42929f39e,brookea,2026-02-09 09:51:00+00:00,Can someone explain why podcast guest episodes keeps coming back?,Trying to separate what is actually interesting from what is just loud online. Would love your opinion. Curious whether people changed their mind over the last few weeks.,None,1,remis,0,2026-02-09 09:51:00+00:00
00cbe6bf-483d-4e0e-a1f5-25608d99613d,af539199-de83-4688-9b2a-e07b09231d2a,delia_daily,2026-02-10 13:08:00+00:00,Hot take request: girlboss backlash.,I want the read that makes the whole thing click. Please send your article or voice note. Bonus points if it's more thoughtful than whatever TikTok is doing with it today.,spotify,2,"alixclub, hallezz",1,2026-02-10 16:08:00+00:00
52d9a4ff-e0e3-43bb-a7bb-940f06c81c4a,3c46fc4c-22a4-4dca-9078-1eb0d5d529cc,mads,2026-02-12 09:05:00+00:00,I keep circling back to internet overexposure.,This has been rattling around in my head since the latest episode. Keen for the community's smartest read.,spotify,2,"mila40, eliza",2,2026-02-13 11:05:00+00:00
13cc3fe7-d385-499e-8c46-e80b373fd448,971b74b9-34b6-4d68-b86b-6374e2cf764f,remis,2026-02-12 09:47:00+00:00,Can someone explain why sad girl pop keeps coming back?,Trying to separate what is actually interesting from what is just loud online. Would love your take.,None,3,"lara_b, sabrina88, jules53",3,2026-02-13 06:47:00+00:00
c09b7467-d5f1-456c-8f6e-5d015f0248b7,b3cbce25-bcfc-4039-8e81-460817f8514c,poppy_club,2026-02-15 09:00:00+00:00,Need the group's view on book-to-screen adaptations.,I want the read that makes the whole thing click. Please send your must-read. Bonus points if it's more thoughtful than whatever TikTok is doing with it today.,tiktok,5,"paige69, hazel15, kate92, remis, remizz",5,2026-02-18 01:00:00+00:00
c9f7127c-9264-451c-b158-7b0ccf7aff0b,3c46fc4c-22a4-4dca-9078-1eb0d5d529cc,mads,2026-02-15 18:51:00+00:00,I keep circling back to reality TV villains.,I need the intelligent-but-not-too-serious version of this conversation. Hit me with your smartest dumb take.,tiktok,3,"emmie3, nell35, ria",4,2026-02-17 00:51:00+00:00
45d2fb24-52fa-4261-a4b3-e3ccf5ecdc76,2b45a69d-9c7d-49d0-b5e6-f94c40a15556,kate92,2026-02-16 21:22:00+00:00,Who has the best take on movie press tours?,Feels like there is a more interesting angle here than the obvious one. Share your thought.,None,0,,1,2026-02-17 01:22:00+00:00
d9bb1bd3-1106-4db0-9c63-2968dd55af46,f5984d39-e284-42e8-8ba7-5bb425a0a5bc,hallezz,2026-02-17 18:42:00+00:00,Can someone explain why microtrend fatigue keeps coming back?,I need the intelligent-but-not-too-serious version of this conversation. Hit me with your best Substack. Curious whether people changed their mind over the last few weeks.,youtube,3,"pearl93, elsie, bella_club",5,2026-02-19 13:42:00+00:00
7e509fbc-9b1b-4e25-a0de-2eab1a6baca9,2b45a69d-9c7d-49d0-b5e6-f94c40a15556,kate92,2026-02-17 21:27:00+00:00,What are we all thinking about brand founder scandals right now?,I need the intelligent-but-not-too-serious version of this conversation. Hit me with your reading rec. Curious whether people changed their mind over the last few weeks.,spotify,3,"alixclub, eden, darcy51",3,2026-02-18 15:27:00+00:00
04381e62-55ea-415f-bb7d-438aabb21a79,7f39d49f-9c12-4e0e-a1b9-39bed12bbf31,gemmanotes,2026-02-18 08:15:00+00:00,Who has the best take on comfort rewatches?,I keep hearing versions of the same argument and want something smarter than the timeline. Drop your show rec. Curious whether people changed their mind over the last few weeks.,None,1,immy79,3,2026-02-18 14:15:00+00:00
033994b2-ad20-420d-9965-d280108ca03a,64bf7b66-caf8-4812-90d6-79cc29ed42f0,elsie_club,2026-02-18 18:15:00+00:00,Can someone explain why podcast guest episodes keeps coming back?,I want the read that makes the whole thing click. Please send your opinion.,spotify,3,"thea, rubyx, indi7",1,2026-02-19 06:15:00+00:00
66f1bd4d-6441-4532-a12b-06949c949a7a,3c46fc4c-22a4-4dca-9078-1eb0d5d529cc,mads,2026-02-18 19:47:00+00:00,Is anyone else fully locked into reality TV villains discourse?,Feels like there is a more interesting angle here than the obvious one. Share your smartest dumb take. Curious whether people changed their mind over the last few weeks.,instagram,3,"mae, ria, esme",3,2026-02-19 20:47:00+00:00
57efd739-b593-4cff-8907-c57dcc1542c3,8c3853ef-e9fd-489e-a00e-c4e6de6388c3,soph,2026-02-21 12:27:00+00:00,Need the group's view on PR relationships.,Trying to separate what is actually interesting from what is just loud online. Would love your spiciest theory. Bonus points if it's more thoughtful than whatever TikTok is doing with it today.,tiktok,0,,1,2026-02-21 20:27:00+00:00
7c559900-3e3b-473f-ac91-867324296eef,f6819374-e53e-4919-90db-67893b46a553,tess,2026-02-24 10:18:00+00:00,Is anyone else fully locked into wellness rebrands discourse?,I want the read that makes the whole thing click. Please send your sharpest piece.,instagram,2,"tara, ash",3,2026-02-25 01:18:00+00:00
12fd3bb1-5fe1-43de-9573-8e9ba31b4da9,1fd42c2d-fadb-4794-8d33-f4eefae244ac,cleo,2026-02-25 09:55:00+00:00,What are we all thinking about redemption arcs right now?,Feels like there is a more interesting angle here than the obvious one. Share your best nuanced take. Curious whether people changed their mind over the last few weeks.,None,2,"hallezz, sasha_zz",2,2026-02-25 14:55:00+00:00
3c7eea98-5f6e-4207-8a66-0364d68f5248,36440350-a43e-4388-b514-a9a691954bc9,mae,2026-02-28 08:08:00+00:00,Open thread for celebrity memoirs.,I want the read that makes the whole thing click. Please send your essay or podcast.,None,1,larab,2,2026-02-28 18:08:00+00:00
ed7b8f54-d1a5-4f3a-941f-a7e75344195e,cdec4c8a-245c-45c0-b460-1088a8215823,freya,2026-02-28 19:39:00+00:00,Hot take request: Messy celeb interviews.,Trying to separate what is actually interesting from what is just loud online. Would love your article.,instagram,0,,0,2026-02-28 19:39:00+00:00
4bc06f4b-4d4f-4bcc-b8de-3c49fae131eb,af539199-de83-4688-9b2a-e07b09231d2a,delia_daily,2026-03-02 10:33:00+00:00,Open thread for microtrend fatigue.,This has been rattling around in my head since the latest episode. Keen for the community's best Substack.,None,2,"amber, pearl16",0,2026-03-02 10:33:00+00:00
e31312cc-d03c-4cf9-95c6-d70a2055871c,1fd42c2d-fadb-4794-8d33-f4eefae244ac,cleo,2026-03-03 13:51:00+00:00,Open thread for sad girl pop.,I want the read that makes the whole thing click. Please send your take.,None,3,"kate92, soph, willa23",0,2026-03-03 13:51:00+00:00
