community_id,community_name,record_type,record_id,source_post_id,reply_to_comment_id,user_id,username,created_at,raw_text,clean_text,like_count,comment_count,engagement_count,city,industry,gender
demo_shameless_community,Demo Shameless Community,post,e864e3dd-2399-43fa-8e5b-3c29ec61854a,e864e3dd-2399-43fa-8e5b-3c29ec61854a,,ec455a41-4c72-4c7d-9ace-89f42929f39e,brookea,2026-01-09 09:51:00+00:00,What are we all thinking about nepo-baby discourse right now? Trying to separate what is actually interesting from what is just loud online. Would love your most nuanced take.,what are we all thinking about nepo baby discourse right now trying to separate what is actually interesting from what is just loud online would love your most nuanced take ,2,1,3,London,Student,female
demo_shameless_community,Demo Shameless Community,comment,910a04e4-b11d-4407-ba5c-fc734a2b7164,e864e3dd-2399-43fa-8e5b-3c29ec61854a,,92a2012e-738d-4a74-becf-07dd07ab44f7,lila,2026-01-09 11:51:00+00:00,This is exactly the kind of topic that sounds bigger online than it is offline.,this is exactly the kind of topic that sounds bigger online than it is offline ,3,0,3,Wellington,Advertising,female
demo_shameless_community,Demo Shameless Community,post,f5f35d98-c72f-43fe-aac3-c33bde9ce310,f5f35d98-c72f-43fe-aac3-c33bde9ce310,,3c46fc4c-22a4-4dca-9078-1eb0d5d529cc,mads,2026-01-14 09:08:00+00:00,I keep circling back to celebrity side hustles. I keep hearing versions of the same argument and want something smarter than the timeline. Drop your best example.,i keep circling back to celebrity side hustles i keep hearing versions of the same argument and want something smarter than the timeline drop your best example ,4,4,8,London,Legal,male
demo_shameless_community,Demo Shameless Community,comment,5b93ed3a-6aea-4035-91f5-dc3d31923a38,f5f35d98-c72f-43fe-aac3-c33bde9ce310,,b3cbce25-bcfc-4039-8e81-460817f8514c,poppy_club,2026-01-14 21:08:00+00:00,"This is where access, taste and timing all get muddled together.",this is where access taste and timing all get muddled together ,1,0,1,London,Government,female
demo_shameless_community,Demo Shameless Community,comment,2d684ba8-ce2f-4067-9c18-29ca6ddd9ceb,f5f35d98-c72f-43fe-aac3-c33bde9ce310,,51efd9cc-9dd5-4483-b6de-ee8e728b82e9,paige69,2026-01-15 00:08:00+00:00,My take is less dramatic: people just want a neat story arc.,my take is less dramatic people just want a neat story arc ,0,0,0,Brisbane,Healthcare,female
demo_shameless_community,Demo Shameless Community,comment,491f81d8-a4e1-48f5-941c-de635a85b176,f5f35d98-c72f-43fe-aac3-c33bde9ce310,,b3cbce25-bcfc-4039-8e81-460817f8514c,poppy_club,2026-01-15 02:08:00+00:00,My unglamorous answer is that PR teams are better at shaping the vibe than the substance.,my unglamorous answer is that pr teams are better at shaping the vibe than the substance ,1,0,1,London,Government,female
demo_shameless_community,Demo Shameless Community,comment,bd13cb81-a093-43e2-84c8-30086492bb8a,f5f35d98-c72f-43fe-aac3-c33bde9ce310,,51efd9cc-9dd5-4483-b6de-ee8e728b82e9,paige69,2026-01-15 04:08:00+00:00,I think the internet is flattening the most interesting part of it.,i think the internet is flattening the most interesting part of it ,2,0,2,Brisbane,Healthcare,female
demo_shameless_community,Demo Shameless Community,post,d1215e6b-445f-4dc5-8cf9-f99d67129010,d1215e6b-445f-4dc5-8cf9-f99d67129010,,51efd9cc-9dd5-4483-b6de-ee8e728b82e9,paige69,2026-01-16 11:15:00+00:00,Can someone explain why celebrity memoirs keeps coming back? I want the read that makes the whole thing click. Please send your essay or podcast.,can someone explain why celebrity memoirs keeps coming back i want the read that makes the whole thing click please send your essay or podcast ,3,3,6,Brisbane,Healthcare,female
demo_shameless_community,Demo Shameless Community,comment,77ef0779-2c7a-4088-9f13-d5a1833f98d6,d1215e6b-445f-4dc5-8cf9-f99d67129010,,d3f621e6-367a-4f80-8697-80ba92f7badd,amber,2026-01-16 15:15:00+00:00,"This is where access, taste and timing all get muddled together.",this is where access taste and timing all get muddled together ,3,0,3,Singapore,Media,female
demo_shameless_community,Demo Shameless Community,comment,b72229b6-52c9-4100-a39c-7f8fe1260995,d1215e6b-445f-4dc5-8cf9-f99d67129010,,b3cbce25-bcfc-4039-8e81-460817f8514c,poppy_club,2026-01-17 00:15:00+00:00,"I had not thought about it that way, but that feels right.",i had not thought about it that way but that feels right ,0,0,0,London,Government,female
demo_shameless_community,Demo Shameless Community,post,46e7c05b-3c6f-4a02-88e5-c42e8431d29c,46e7c05b-3c6f-4a02-88e5-c42e8431d29c,,51efd9cc-9dd5-4483-b6de-ee8e728b82e9,paige69,2026-01-17 08:47:00+00:00,Can someone explain why girlboss backlash keeps coming back? I keep hearing versions of the same argument and want something smarter than the timeline. Drop your article or voice note.,can someone explain why girlboss backlash keeps coming back i keep hearing versions of the same argument and want something smarter than the timeline drop your article or voice note ,3,3,6,Brisbane,Healthcare,female
demo_shameless_community,Demo Shameless Community,comment,176f607f-3e0c-4670-9663-1465d8576249,d1215e6b-445f-4dc5-8cf9-f99d67129010,,8c3853ef-e9fd-489e-a00e-c4e6de6388c3,soph,2026-01-17 09:15:00+00:00,I think we pretend these conversations are about ethics when half the time they are about taste.,i think we pretend these conversations are about ethics when half the time they are about taste ,2,0,2,Bristol,Healthcare,female
demo_shameless_community,Demo Shameless Community,comment,760a8903-59b9-4fc8-bdf5-ce8228650a6d,46e7c05b-3c6f-4a02-88e5-c42e8431d29c,,3c46fc4c-22a4-4dca-9078-1eb0d5d529cc,mads,2026-01-17 12:47:00+00:00,Honestly I think audience fatigue is doing half the work here.,honestly i think audience fatigue is doing half the work here ,0,0,0,London,Legal,male
